location,duration,entry_score,course_qualification,area_study,course_name,university_name,course_fee,course_link,intakes
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,Master of Science in Accounting and Financial Management,University of Essex,"GBP 18,460",/global/Categories/All-Accounting/Accounting/Master-of-Science-in-Accounting-and-Financial-Management/p/PRG-UK-00070423,october
United Kingdom,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,accounting,BA (Hons) Accounting and Financial Management,University of Sheffield,"GBP 57,150",/global/Categories/All-Accounting/Accounting/BA-Hons-Accounting-and-Financial-Management/p/PRG-UK-00084632,september
Australia,3 Year(s),6.0 IELTS,Bachelor Degree,accounting,Bachelor of Commerce (Accounting and Finance),University of Canberra,"AUD 96,900",/global/Categories/University-of-Canberra/Bachelor-of-Commerce-Accounting-and-Finance/p/PRG-AU-00285555,"feb,august"
United Kingdom,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,accounting,BSc (Hons) Accounting,Durham University,"GBP 64,500",/global/Categories/Durham-University/BSc-Hons-Accounting/p/PRG-UK-00336584,october
Australia,3 Year(s),6.0 IELTS,Bachelor Degree,accounting,Bachelor of Business - Accounting (Melbourne),Melbourne Institute of Technology (MIT),"AUD 50,922",/global/Categories/Melbourne-Institute-of-Technology-%28MIT%29/Bachelor-of-Business-Accounting-Melbourne/p/PRG-AU-00060355,"march,july,november"
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,MSC Accounting and Finance,University of Reading,"GBP 24,900",/global/Categories/University-of-Reading/MSC-Accounting-and-Finance/p/PRG-UK-00237575,september
United Kingdom,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,accounting,BSc (Hons) Accounting and Finance,Lancaster University,"GBP 62,595",/global/Categories/Lancaster-University/BSc-Hons-Accounting-and-Finance/p/PRG-UK-00077446,october
United Kingdom,3 Year(s),6.5 IELTS,Bachelor Degree,accounting,BSc Accounting and Finance - University of Leeds,Study Group UK,,/global/Categories/Study-Group-UK/BSc-Accounting-and-Finance-University-of-Leeds/p/PRG-UK-00235393,september
United Kingdom,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,accounting,BSc (Hons) Accounting and Finance,University of Surrey,"GBP 57,300",/global/Categories/All-Accounting/Accounting/BSc-Hons-Accounting-and-Finance/p/PRG-UK-00105990,september
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,Masters of Science in Accounting and Finance,Anglia Ruskin University,"GBP 13,900",/global/Categories/Anglia-Ruskin-University/Masters-of-Science-in-Accounting-and-Finance/p/PRG-UK-00106429,"january,september"
United Kingdom,4 Year(s),6.5 IELTS,Bachelor Degree with Honours,accounting,BSc (Hons) Accounting and Finance with foundation year,University of Surrey,"GBP 76,400",/global/Categories/University-of-Surrey/BSc-Hons-Accounting-and-Finance-with-foundation-year/p/PRG-UK-00305098,september
United Kingdom,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,accounting,Accounting and Finance BSc Honours,Newcastle University,"GBP 55,800",/global/Categories/All-Accounting/Accounting/Accounting-and-Finance-BSc-Honours/p/PRG-UK-00069569,september
Australia,3 Year(s),6.0 IELTS,Bachelor Degree,accounting,Bachelor of Business (Accounting),King's Own Institute,"AUD 43,500",/global/Categories/King%27s-Own-Institute/Bachelor-of-Business-Accounting/p/PRG-AU-00207778,"march,july,november"
New Zealand,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,Master of Commerce in Accounting,University of Canterbury,"NZD 30,250",/global/Categories/University-of-Canterbury/Master-of-Commerce-in-Accounting/p/PRG-NZ-00195129,"feb,july"
United Kingdom,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,accounting,BSc (Hons) Accounting and Finance,Cardiff University,"GBP 55,350",/global/Categories/Cardiff-University/BSc-Hons-Accounting-and-Finance/p/PRG-UK-00102317,october
New Zealand,4 Month(s),6.5 IELTS,Postgraduate Certificate,accounting,Postgraduate Certificate in Professional Accounting,AUT,"NZD 16,665",/global/Categories/AUT/Postgraduate-Certificate-in-Professional-Accounting/p/PRG-NZ-00116989,"march,october"
United Kingdom,1 Year(s),6.0 IELTS,Masters Degree (Taught),accounting,MSc Accounting and Finance,Bangor University,"GBP 16,500",/global/Categories/All-Accounting/Accounting/MSc-Accounting-and-Finance/p/PRG-UK-00082956,"january,september"
New Zealand,3 Year(s),6.0 IELTS,Bachelor Degree,accounting,Bachelor of Commerce in Accounting and Finance,Lincoln University,"NZD 87,300",/global/Categories/Lincoln-University/Bachelor-of-Commerce-in-Accounting-and-Finance/p/PRG-NZ-00232003,"feb,july,november"
New Zealand,3 Year(s),6.0 IELTS,Bachelor Degree,accounting,Bachelor of Commerce in Accounting,University of Canterbury,"NZD 96,375",/global/Categories/University-of-Canterbury/Bachelor-of-Commerce-in-Accounting/p/PRG-NZ-00193309,"feb,july"
New Zealand,,6.5 IELTS,Postgraduate Certificate,accounting,Postgraduate Certificate in Accounting,The University of Waikato,"NZD 15,430",/global/Categories/The-University-of-Waikato/Postgraduate-Certificate-in-Accounting/p/PRG-NZ-00110614,"march,july"
New Zealand,1 Year(s),,(Graduate) Diploma level 7,accounting,Graduate Diploma in Professional Accounting (Level 7) [Invercargill],Southern Institute of Technology,"NZD 17,000",/global/Categories/All-Accounting/Accounting/Graduate-Diploma-in-Professional-Accounting-Level-7-Invercargill/p/PRG-NZ-00206394,"feb,july"
United Kingdom,4 Year(s),6.5 IELTS,Bachelor Degree with Honours,accounting,BSc (Hons) Accounting with Placement Year,Durham University,"GBP 86,000",/global/Categories/Durham-University/BSc-Hons-Accounting-with-Placement-Year/p/PRG-UK-00336594,october
